,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO
abz5,1352,1369,1388,1336,1334,1467
abz6,1097,987,1004,1031,989,1045
abz7,849,769,763,791,746,868
abz8,929,825,774,810,782,877
abz9,887,857,901,899,860,946
dmu01,2981,3237,3393,3264,3180,3511
dmu02,3834,3444,3299,3307,3278,3508
dmu03,3565,3411,3376,3311,3290,3505
dmu04,3303,3187,3215,3237,3111,3641
dmu05,3898,3594,3483,3504,3317,3694
dmu06,4820,3949,3943,3966,3797,4528
dmu07,3802,3691,3604,3736,3560,3978
dmu08,4520,4262,4024,3687,4034,4005
dmu09,4316,3708,3710,3775,3721,4431
dmu10,3555,3408,3558,3775,3545,3609
dmu11,4686,4486,4599,4504,4459,4667
dmu12,4778,4193,4325,4294,4017,4699
dmu13,4956,4571,4521,4565,4419,4709
dmu14,4914,4144,3960,4113,3926,4334
dmu15,4116,4375,4217,4171,4214,4213
dmu16,4907,4495,4481,4493,4485,4928
dmu17,5043,4999,4874,4838,4626,4899
dmu18,5890,4660,4792,4719,4635,5092
dmu19,4729,4664,4842,4687,4657,4902
dmu20,5618,4510,4500,4295,4498,4539
dmu21,5192,5297,5303,5679,5256,5678
dmu22,5589,5543,5531,5414,5298,5729
dmu23,5996,5062,5166,5121,5111,5406
dmu24,5112,5282,5148,5325,5031,5762
dmu25,4910,4529,4652,4663,4534,5059
dmu26,6046,5756,5571,5751,5573,6125
dmu27,6785,5990,5817,6037,5721,6283
dmu28,6458,5711,5559,5554,5634,6154
dmu29,6468,5501,5757,5891,5523,6036
dmu30,5979,6044,5724,5731,5726,6006
dmu31,6871,6443,6550,6573,6251,6865
dmu32,7247,6119,6354,6487,6093,6350
dmu33,6705,6260,6025,5881,6004,6150
dmu34,7188,6002,6099,6120,6026,6405
dmu35,6942,6123,6173,6174,6141,6531
dmu36,7445,6930,6877,6647,6600,7422
dmu37,7621,6694,7080,6857,6699,7455
dmu38,7712,6703,7060,6993,6648,7625
dmu39,7378,6823,6651,6465,6637,7335
dmu40,7381,6513,6761,6586,6503,6885
dmu41,4213,4516,4286,4218,4264,4321
dmu42,4217,4631,4688,4800,4388,5135
dmu43,4403,4169,4555,4721,4188,4730
dmu44,4437,4435,4878,4698,4467,4907
dmu45,3882,4339,4511,4589,4146,4902
dmu46,5434,5251,5102,5409,4975,5616
dmu47,4634,5025,5135,5143,4860,5427
dmu48,4835,5101,5001,4829,4828,4986
dmu49,4825,5016,4828,4955,4605,4832
dmu50,4853,4807,5161,4959,4742,5431
dmu51,5849,5950,6085,6286,5603,6492
dmu52,5667,5741,6510,6319,5673,6258
dmu53,5270,5830,6300,6434,5832,6444
dmu54,5815,5814,6079,6455,5714,6294
dmu55,5279,6167,6267,6218,6138,6416
dmu56,6244,6496,6947,7131,6450,7220
dmu57,6168,6371,6621,6904,6134,6645
dmu58,5981,6556,6412,6370,6379,6599
dmu59,6077,6675,6604,6937,6532,6728
dmu60,6544,6491,6635,6809,6191,7040
dmu61,6302,7363,7862,8120,7267,8173
dmu62,6748,7303,7731,8076,7159,7885
dmu63,6578,7660,7702,8095,7426,8028
dmu64,7067,7029,7733,8072,6924,8327
dmu65,6889,7066,7769,8152,6951,7815
dmu66,7865,8265,8720,8612,8171,8409
dmu67,8559,7805,8438,8368,7741,8851
dmu68,8112,8415,8282,8926,8139,8595
dmu69,7424,7760,8227,8317,7617,8266
dmu70,8303,8538,8522,8615,7884,8598
dmu71,8390,9211,9491,9861,8834,9871
dmu72,8371,9371,9930,10127,9329,9942
dmu73,7813,8959,9364,9945,8708,9664
dmu74,7786,8982,9545,9786,8756,9848
dmu75,7916,8766,9444,9861,8641,9535
dmu76,8836,9778,10177,10141,9615,10038
dmu77,9154,9648,10332,10499,9645,10363
dmu78,8799,9335,10332,10608,9253,10885
dmu79,9007,9774,10449,10458,9626,10842
dmu80,9004,9423,9852,10458,9241,10149
ft06,88,61,61,59,60,65
ft10,1074,1108,1220,1206,1090,1233
ft20,1469,1524,1594,1615,1478,1668
la01,780,746,795,812,692,772
la02,821,822,823,842,846,834
la03,727,696,729,740,696,760
la04,693,758,698,660,729,722
la05,623,605,607,599,605,617
la06,1235,979,978,994,971,978
la07,1140,1000,1043,1015,988,1119
la08,1019,979,1034,988,961,969
la09,1152,1055,1040,1073,1040,1003
la10,1068,999,980,1004,1066,1056
la11,1431,1322,1328,1312,1351,1387
la12,1356,1199,1131,1160,1104,1155
la13,1403,1195,1203,1233,1262,1270
la14,1596,1374,1311,1363,1329,1382
la15,1375,1386,1513,1475,1473,1555
la16,1156,1054,1060,1108,1081,1180
la17,924,846,859,844,845,943
la18,981,970,1026,942,983,1049
la19,940,1013,960,1088,1000,983
la20,1000,964,1059,1130,984,1272
la21,1324,1264,1234,1252,1230,1265
la22,1182,1094,1187,1198,1060,1312
la23,1177,1185,1152,1268,1155,1255
la24,1203,1101,1112,1149,1085,1141
la25,1449,1166,1203,1209,1112,1283
la26,1631,1436,1453,1411,1386,1395
la27,1751,1442,1477,1566,1415,1644
la28,1561,1603,1534,1472,1480,1509
la29,1567,1343,1460,1429,1354,1540
la30,1792,1534,1559,1565,1577,1648
la31,2040,1931,1816,1858,1917,1928
la32,2378,1901,2014,1973,1884,2052
la33,2075,1902,1885,1806,1808,1917
la34,2120,1951,1966,1891,1856,1927
la35,2154,2063,2097,2089,2039,2333
la36,1799,1510,1508,1492,1396,1516
la37,1655,1588,1594,1606,1584,1873
la38,1404,1421,1358,1455,1387,1475
la39,1534,1500,1405,1540,1495,1532
la40,1476,1440,1427,1395,1400,1468
orb01,1478,1359,1369,1307,1275,1368
orb02,1175,1047,1035,1047,1033,1007
orb03,1179,1247,1418,1445,1283,1405
orb04,1236,1172,1200,1252,1112,1254
orb05,1152,1173,1097,1121,1030,1168
orb06,1190,1291,1314,1345,1277,1330
orb07,504,483,507,500,473,475
