,datasets_sizes_113102,converge_cnt,total_time,no-op
la21,1159,1754,315.3302722,0
la22,1002,1106,198.1797442,0
la23,1044,1043,195.2332637,0
la24,1018,1214,217.870944,0
la25,1058,1853,332.9981356,0
la26,1297,2519,583.5623603,0
la27,1370,2351,535.7837887,0
la28,1333,3335,490.3378508,0
la29,1307,1958,273.2711999,0
la30,1420,2288,320.5561292,0
la31,1784,3344,666.8475449,0
la32,1850,3599,715.970201,0
la33,1719,5999,1320.63746,0
la34,1725,5999,1939.903347,0
la35,1898,4604,1447.617978,0
la36,1385,941,182.2783737,0
la37,1509,2189,504.3879218,0
la38,1353,2429,557.300029,0
la39,1373,2165,489.6091535,0
la40,1326,2030,464.2560933,0
ta21,1878,4640,1762.466851,0
ta22,1771,1676,657.8860881,0
ta31,1958,5999,2673.190098,0
ta32,2070,5999,2696.998503,0
ta41,2387,5999,3505.345793,0
ta42,2195,5999,3494.981803,0
ta51,3130,3254,3602.696013,0
ta52,3076,3455,3602.235309,0
ta61,3224,2408,3603.378569,0
ta62,3340,3290,3600.593087,0
ta71,5765,1385,3603.155005,0
ta72,5376,1382,3601.103207,0
