,episode,make_span,reward,no-op
0,0.0,1184.0,44.63917525773196,0.0
1,0.0,1240.0,38.86597938144329,0.0
2,0.0,1110.0,52.26804123711339,0.0
3,1.0,1075.0,55.876288659793815,0.0
4,1.0,1158.0,47.319587628865996,0.0
5,1.0,1114.0,51.855670103092784,0.0
6,2.0,1141.0,49.07216494845361,0.0
7,2.0,1125.0,50.72164948453606,0.0
8,2.0,1114.0,51.85567010309279,0.0
9,3.0,1058.0,57.62886597938144,0.0
10,3.0,1158.0,47.31958762886597,0.0
11,3.0,1152.0,47.938144329896915,0.0
12,4.0,1214.0,41.54639175257733,0.0
13,4.0,1131.0,50.103092783505154,0.0
14,4.0,1162.0,46.90721649484537,0.0
15,5.0,1156.0,47.5257731958763,0.0
16,5.0,1169.0,46.18556701030926,0.0
17,5.0,1169.0,46.18556701030929,0.0
18,6.0,1084.0,54.94845360824745,0.0
19,6.0,1169.0,46.18556701030926,0.0
20,6.0,1127.0,50.51546391752576,0.0
21,7.0,1159.0,47.21649484536079,0.0
22,7.0,1087.0,54.639175257731964,0.0
23,7.0,1124.0,50.82474226804126,0.0
24,8.0,1114.0,51.85567010309278,0.0
25,8.0,1214.0,41.54639175257731,0.0
26,8.0,1164.0,46.70103092783503,0.0
27,9.0,1189.0,44.12371134020618,0.0
28,9.0,1111.0,52.16494845360822,0.0
29,9.0,1129.0,50.30927835051546,0.0
30,10.0,1191.0,43.91752577319586,0.0
31,10.0,1109.0,52.37113402061851,0.0
32,10.0,1084.0,54.94845360824739,0.0
33,11.0,1125.0,50.721649484536094,0.0
34,11.0,1169.0,46.18556701030928,0.0
35,11.0,1059.0,57.52577319587627,0.0
36,12.0,1135.0,49.69072164948452,0.0
37,12.0,1140.0,49.17525773195875,0.0
38,12.0,1209.0,42.0618556701031,0.0
39,13.0,1098.0,53.50515463917525,0.0
40,13.0,1169.0,46.185567010309306,0.0
41,13.0,1167.0,46.39175257731957,0.0
42,14.0,1129.0,50.30927835051544,0.0
43,14.0,1178.0,45.257731958762875,0.0
44,14.0,1160.0,47.11340206185565,0.0
45,15.0,1112.0,52.06185567010309,0.0
46,15.0,1149.0,48.24742268041236,0.0
47,15.0,1114.0,51.85567010309281,0.0
48,16.0,1184.0,44.639175257732,0.0
49,16.0,1125.0,50.721649484536066,0.0
50,16.0,1169.0,46.185567010309306,0.0
51,17.0,1230.0,39.89690721649487,0.0
52,17.0,1195.0,43.50515463917527,0.0
53,17.0,1135.0,49.69072164948456,0.0
54,18.0,1170.0,46.0824742268041,0.0
55,18.0,1127.0,50.51546391752576,0.0
56,18.0,1123.0,50.927835051546396,0.0
57,19.0,1213.0,41.64948453608251,0.0
58,19.0,1120.0,51.23711340206188,0.0
59,19.0,1145.0,48.659793814432966,0.0
60,20.0,1058.0,57.628865979381445,0.0
61,20.0,1058.0,57.628865979381445,0.0
62,20.0,1164.0,46.701030927835035,0.0
63,21.0,1162.0,46.90721649484535,0.0
64,21.0,1169.0,46.185567010309285,0.0
65,21.0,1144.0,48.76288659793814,0.0
66,22.0,1090.0,54.329896907216494,0.0
67,22.0,1075.0,55.87628865979382,0.0
68,22.0,1112.0,52.061855670103085,0.0
69,23.0,1104.0,52.88659793814433,0.0
70,23.0,1107.0,52.57731958762888,0.0
71,23.0,1183.0,44.74226804123712,0.0
72,24.0,1081.0,55.257731958762875,0.0
73,24.0,1121.0,51.134020618556704,0.0
74,24.0,1169.0,46.18556701030928,0.0
75,25.0,1114.0,51.85567010309277,0.0
76,25.0,1199.0,43.09278350515462,0.0
77,25.0,1090.0,54.32989690721647,0.0
78,26.0,1169.0,46.1855670103093,0.0
79,26.0,1075.0,55.87628865979379,0.0
80,26.0,1094.0,53.91752577319589,0.0
81,27.0,1103.0,52.98969072164944,0.0
82,27.0,1172.0,45.876288659793815,0.0
83,27.0,1086.0,54.74226804123711,0.0
84,28.0,1169.0,46.185567010309285,0.0
85,28.0,1094.0,53.91752577319585,0.0
86,28.0,1164.0,46.70103092783501,0.0
87,29.0,1181.0,44.94845360824742,0.0
88,29.0,1093.0,54.02061855670102,0.0
89,29.0,1174.0,45.67010309278348,0.0
90,30.0,1103.0,52.98969072164946,0.0
91,30.0,1150.0,48.1443298969072,0.0
92,30.0,1127.0,50.515463917525764,0.0
93,31.0,1127.0,50.515463917525764,0.0
94,31.0,1140.0,49.175257731958766,0.0
95,31.0,1146.0,48.55670103092784,0.0
96,32.0,1123.0,50.9278350515464,0.0
97,32.0,1091.0,54.22680412371135,0.0
98,32.0,1151.0,48.04123711340205,0.0
99,33.0,1124.0,50.824742268041234,0.0
100,33.0,1139.0,49.278350515463906,0.0
101,33.0,1100.0,53.298969072164965,0.0
102,34.0,1100.0,53.29896907216492,0.0
103,34.0,1120.0,51.237113402061865,0.0
104,34.0,1149.0,48.24742268041236,0.0
105,35.0,1187.0,44.3298969072165,0.0
106,35.0,1131.0,50.10309278350514,0.0
107,35.0,1115.0,51.75257731958763,0.0
108,36.0,1201.0,42.88659793814435,0.0
109,36.0,1202.0,42.78350515463918,0.0
110,36.0,1128.0,50.4123711340206,0.0
111,37.0,1064.0,57.010309278350526,0.0
112,37.0,1185.0,44.536082474226795,0.0
113,37.0,1126.0,50.618556701030904,0.0
114,38.0,1216.0,41.34020618556701,0.0
115,38.0,1124.0,50.82474226804122,0.0
116,38.0,1131.0,50.10309278350515,0.0
117,39.0,1161.0,47.0103092783505,0.0
118,39.0,1202.0,42.783505154639144,0.0
119,39.0,1205.0,42.474226804123724,0.0
120,40.0,1152.0,47.93814432989689,0.0
121,40.0,1093.0,54.02061855670102,0.0
122,40.0,1122.0,51.03092783505157,0.0
123,41.0,1158.0,47.31958762886598,0.0
124,41.0,1124.0,50.82474226804123,0.0
125,41.0,1080.0,55.360824742268036,0.0
126,42.0,1075.0,55.87628865979382,0.0
127,42.0,1111.0,52.16494845360822,0.0
128,42.0,1218.0,41.13402061855668,0.0
129,43.0,1075.0,55.876288659793815,0.0
130,43.0,1071.0,56.28865979381441,0.0
131,43.0,1130.0,50.206185567010294,0.0
132,44.0,1125.0,50.72164948453609,0.0
133,44.0,1064.0,57.010309278350526,0.0
134,44.0,1135.0,49.690721649484594,0.0
135,45.0,1105.0,52.78350515463917,0.0
136,45.0,1071.0,56.28865979381444,0.0
137,45.0,1169.0,46.18556701030926,0.0
138,46.0,1103.0,52.98969072164947,0.0
139,46.0,1169.0,46.18556701030927,0.0
140,46.0,1105.0,52.78350515463917,0.0
141,47.0,1058.0,57.62886597938144,0.0
142,47.0,1106.0,52.68041237113402,0.0
143,47.0,1122.0,51.03092783505154,0.0
144,48.0,1047.0,58.76288659793815,0.0
145,48.0,1150.0,48.14432989690722,0.0
146,48.0,1109.0,52.371134020618534,0.0
147,49.0,1131.0,50.103092783505154,0.0
148,49.0,1186.0,44.432989690721655,0.0
149,49.0,1100.0,53.29896907216493,0.0
150,50.0,1127.0,50.515463917525764,0.0
151,50.0,1150.0,48.144329896907216,0.0
152,50.0,1155.0,47.62886597938145,0.0
153,51.0,1146.0,48.55670103092782,0.0
154,51.0,1089.0,54.43298969072165,0.0
155,51.0,1075.0,55.876288659793794,0.0
156,52.0,1131.0,50.10309278350513,0.0
157,52.0,1093.0,54.02061855670101,0.0
158,52.0,1044.0,59.0721649484536,0.0
159,53.0,1131.0,50.10309278350517,0.0
160,53.0,1135.0,49.69072164948448,0.0
161,53.0,1126.0,50.6185567010309,0.0
162,54.0,1176.0,45.463917525773205,0.0
163,54.0,1219.0,41.030927835051564,0.0
164,54.0,1081.0,55.257731958762896,0.0
165,55.0,1110.0,52.268041237113394,0.0
166,55.0,1145.0,48.65979381443297,0.0
167,55.0,1044.0,59.0721649484536,0.0
168,56.0,1093.0,54.02061855670103,0.0
169,56.0,1057.0,57.73195876288661,0.0
170,56.0,1078.0,55.567010309278345,0.0
171,57.0,1199.0,43.09278350515459,0.0
172,57.0,1159.0,47.21649484536081,0.0
173,57.0,1162.0,46.90721649484537,0.0
174,58.0,1212.0,41.752577319587644,0.0
175,58.0,1143.0,48.865979381443346,0.0
176,58.0,1118.0,51.44329896907216,0.0
177,59.0,1089.0,54.43298969072167,0.0
178,59.0,1190.0,44.020618556701045,0.0
179,59.0,1125.0,50.721649484536044,0.0
180,60.0,1174.0,45.67010309278351,0.0
181,60.0,1100.0,53.29896907216492,0.0
182,60.0,1089.0,54.432989690721655,0.0
183,61.0,1058.0,57.628865979381445,0.0
184,61.0,1113.0,51.958762886597945,0.0
185,61.0,1050.0,58.45360824742267,0.0
186,62.0,1079.0,55.46391752577322,0.0
