,episode,make_span,reward,no-op
0,0.0,5597.0,836.2626262626234,0.0
1,0.0,5557.0,844.3434343434337,0.0
2,0.0,5552.0,845.3535353535335,0.0
3,1.0,5507.0,854.4444444444428,0.0
4,1.0,5541.0,847.5757575757584,0.0
5,1.0,5489.0,858.0808080808068,0.0
6,2.0,5526.0,850.6060606060594,0.0
7,2.0,5487.0,858.4848484848466,0.0
8,2.0,5494.0,857.0707070707073,0.0
9,3.0,5549.0,845.9595959595955,0.0
10,3.0,5511.0,853.6363636363612,0.0
11,3.0,5519.0,852.0202020202019,0.0
12,4.0,5550.0,845.7575757575746,0.0
13,4.0,5589.0,837.8787878787869,0.0
14,4.0,5567.0,842.3232323232303,0.0
15,5.0,5487.0,858.4848484848454,0.0
16,5.0,5561.0,843.5353535353541,0.0
17,5.0,5483.0,859.2929292929291,0.0
18,6.0,5549.0,845.9595959595953,0.0
19,6.0,5558.0,844.1414141414118,0.0
20,6.0,5498.0,856.2626262626261,0.0
21,7.0,5517.0,852.4242424242407,0.0
22,7.0,5546.0,846.565656565654,0.0
23,7.0,5598.0,836.0606060606061,0.0
24,8.0,5576.0,840.505050505048,0.0
25,8.0,5545.0,846.7676767676755,0.0
26,8.0,5497.0,856.4646464646463,0.0
27,9.0,5538.0,848.1818181818176,0.0
28,9.0,5582.0,839.2929292929264,0.0
29,9.0,5515.0,852.8282828282819,0.0
30,10.0,5493.0,857.2727272727259,0.0
31,10.0,5608.0,834.0404040404036,0.0
32,10.0,5622.0,831.2121212121198,0.0
33,11.0,5453.0,865.3535353535349,0.0
34,11.0,5469.0,862.1212121212121,0.0
35,11.0,5561.0,843.5353535353515,0.0
36,12.0,5520.0,851.8181818181814,0.0
37,12.0,5528.0,850.2020202020193,0.0
38,12.0,5570.0,841.7171717171688,0.0
39,13.0,5517.0,852.4242424242408,0.0
40,13.0,5542.0,847.3737373737362,0.0
41,13.0,5523.0,851.2121212121186,0.0
42,14.0,5590.0,837.6767676767657,0.0
43,14.0,5504.0,855.050505050504,0.0
44,14.0,5533.0,849.1919191919171,0.0
45,15.0,5607.0,834.2424242424228,0.0
46,15.0,5643.0,826.9696969696963,0.0
47,15.0,5576.0,840.5050505050485,0.0
48,16.0,5625.0,830.6060606060599,0.0
49,16.0,5596.0,836.4646464646457,0.0
50,16.0,5537.0,848.3838383838371,0.0
51,17.0,5466.0,862.7272727272714,0.0
52,17.0,5463.0,863.3333333333328,0.0
53,17.0,5539.0,847.9797979797975,0.0
54,18.0,5560.0,843.737373737373,0.0
55,18.0,5603.0,835.0505050505038,0.0
56,18.0,5525.0,850.8080808080799,0.0
57,19.0,5512.0,853.4343434343408,0.0
58,19.0,5631.0,829.3939393939387,0.0
59,19.0,5585.0,838.6868686868695,0.0
60,20.0,5605.0,834.646464646463,0.0
61,20.0,5564.0,842.9292929292927,0.0
62,20.0,5571.0,841.5151515151495,0.0
63,21.0,5443.0,867.3737373737341,0.0
64,21.0,5586.0,838.4848484848493,0.0
65,21.0,5678.0,819.8989898989894,0.0
66,22.0,5573.0,841.1111111111114,0.0
67,22.0,5497.0,856.4646464646459,0.0
68,22.0,5478.0,860.3030303030305,0.0
69,23.0,5471.0,861.7171717171707,0.0
70,23.0,5623.0,831.0101010101005,0.0
71,23.0,5538.0,848.1818181818169,0.0
72,24.0,5651.0,825.3535353535359,0.0
73,24.0,5575.0,840.7070707070694,0.0
74,24.0,5687.0,818.0808080808056,0.0
75,25.0,5594.0,836.8686868686867,0.0
76,25.0,5592.0,837.272727272727,0.0
77,25.0,5539.0,847.979797979796,0.0
78,26.0,5500.0,855.8585858585823,0.0
79,26.0,5534.0,848.9898989898977,0.0
80,26.0,5561.0,843.5353535353529,0.0
81,27.0,5553.0,845.1515151515138,0.0
82,27.0,5555.0,844.7474747474731,0.0
83,27.0,5547.0,846.3636363636322,0.0
84,28.0,5561.0,843.5353535353521,0.0
85,28.0,5550.0,845.7575757575729,0.0
86,28.0,5709.0,813.6363636363623,0.0
87,29.0,5556.0,844.5454545454542,0.0
88,29.0,5621.0,831.4141414141405,0.0
89,29.0,5619.0,831.8181818181818,0.0
90,30.0,5668.0,821.9191919191901,0.0
91,30.0,5576.0,840.5050505050497,0.0
92,30.0,5509.0,854.0404040404034,0.0
93,31.0,5612.0,833.2323232323233,0.0
94,31.0,5642.0,827.1717171717161,0.0
95,31.0,5600.0,835.6565656565664,0.0
96,32.0,5692.0,817.0707070707064,0.0
97,32.0,5464.0,863.1313131313118,0.0
98,32.0,5560.0,843.7373737373716,0.0
99,33.0,5659.0,823.7373737373724,0.0
100,33.0,5575.0,840.7070707070698,0.0
101,33.0,5541.0,847.575757575755,0.0
102,34.0,5518.0,852.2222222222204,0.0
103,34.0,5528.0,850.2020202020186,0.0
104,34.0,5492.0,857.4747474747467,0.0
105,35.0,5636.0,828.3838383838394,0.0
106,35.0,5593.0,837.0707070707064,0.0
107,35.0,5503.0,855.2525252525242,0.0
108,36.0,5512.0,853.434343434343,0.0
109,36.0,5482.0,859.4949494949481,0.0
110,36.0,5546.0,846.565656565657,0.0
111,37.0,5579.0,839.8989898989907,0.0
112,37.0,5605.0,834.6464646464642,0.0
113,37.0,5506.0,854.6464646464626,0.0
114,38.0,5532.0,849.3939393939391,0.0
115,38.0,5575.0,840.707070707068,0.0
116,38.0,5513.0,853.2323232323222,0.0
117,39.0,5464.0,863.1313131313113,0.0
118,39.0,5624.0,830.8080808080805,0.0
119,39.0,5541.0,847.5757575757557,0.0
120,40.0,5503.0,855.2525252525226,0.0
121,40.0,5556.0,844.5454545454529,0.0
122,40.0,5499.0,856.0606060606054,0.0
123,41.0,5455.0,864.9494949494937,0.0
124,41.0,5609.0,833.8383838383829,0.0
125,41.0,5577.0,840.3030303030284,0.0
126,42.0,5490.0,857.8787878787863,0.0
127,42.0,5558.0,844.1414141414139,0.0
128,42.0,5543.0,847.1717171717157,0.0
129,43.0,5587.0,838.2828282828269,0.0
130,43.0,5517.0,852.4242424242398,0.0
131,43.0,5523.0,851.212121212121,0.0
132,44.0,5550.0,845.7575757575744,0.0
133,44.0,5577.0,840.3030303030297,0.0
134,44.0,5644.0,826.7676767676755,0.0
135,45.0,5601.0,835.454545454545,0.0
136,45.0,5597.0,836.2626262626259,0.0
137,45.0,5553.0,845.1515151515139,0.0
138,46.0,5542.0,847.3737373737368,0.0
139,46.0,5525.0,850.8080808080784,0.0
140,46.0,5574.0,840.909090909089,0.0
141,47.0,5535.0,848.7878787878793,0.0
142,47.0,5479.0,860.1010101010078,0.0
143,47.0,5550.0,845.7575757575736,0.0
144,48.0,5546.0,846.5656565656564,0.0
145,48.0,5634.0,828.7878787878769,0.0
146,48.0,5504.0,855.0505050505058,0.0
147,49.0,5581.0,839.4949494949492,0.0
148,49.0,5510.0,853.838383838382,0.0
149,49.0,5538.0,848.1818181818174,0.0
150,50.0,5646.0,826.3636363636344,0.0
151,50.0,5589.0,837.8787878787869,0.0
152,50.0,5562.0,843.3333333333325,0.0
153,51.0,5542.0,847.3737373737359,0.0
154,51.0,5473.0,861.3131313131314,0.0
155,51.0,5561.0,843.5353535353522,0.0
156,52.0,5536.0,848.5858585858584,0.0
157,52.0,5491.0,857.6767676767681,0.0
158,52.0,5532.0,849.3939393939384,0.0
159,53.0,5512.0,853.4343434343427,0.0
160,53.0,5498.0,856.2626262626258,0.0
161,53.0,5556.0,844.5454545454538,0.0
162,54.0,5512.0,853.4343434343418,0.0
163,54.0,5566.0,842.5252525252512,0.0
164,54.0,5567.0,842.3232323232324,0.0
165,55.0,5486.0,858.6868686868663,0.0
166,55.0,5626.0,830.404040404039,0.0
167,55.0,5535.0,848.7878787878782,0.0
168,56.0,5623.0,831.0101010100999,0.0
169,56.0,5614.0,832.8282828282815,0.0
170,56.0,5457.0,864.5454545454522,0.0
171,57.0,5611.0,833.434343434342,0.0
172,57.0,5589.0,837.8787878787866,0.0
173,57.0,5560.0,843.737373737373,0.0
174,58.0,5510.0,853.8383838383837,0.0
175,58.0,5588.0,838.080808080807,0.0
176,58.0,5474.0,861.1111111111102,0.0
177,59.0,5482.0,859.49494949495,0.0
178,59.0,5619.0,831.818181818181,0.0
179,59.0,5532.0,849.3939393939385,0.0
180,60.0,5526.0,850.6060606060593,0.0
